ID,CREATION_DT,BU,S_START_DT,S_END_DT,DEPTO,PRODUCT,PROCESS,MACHINE,SAMPLE_TIME_SPAN,TOTAL_PRODUCTION_TIME,BUILD_QTY,AVG_CT,AVAIL,PERF,YIELD,OEE
25718,28-JUL-15,4,24-MAY-15,25-MAY-15,Engines,all,Functional test,Functional#3,450,266,44,6.05,.5913703703703703703703703703703703703711,.9920460950710841109788939688106720110212,.7045454545454545454545454545454545454545,.4133333333333333333333333333333333333332
25719,28-JUL-15,4,24-MAY-15,25-MAY-15,Engines,all,Functional test,Functional#2,450,160,36,4.46,.3565555555555555555555555555555555555556,1.34621377376129635400436272982237457152,.8055555555555555555555555555555555555556,.3866666666666666666666666666666666666674
25720,28-JUL-15,4,24-MAY-15,25-MAY-15,Engines,all,Functional test,Functional#7,450,26,3,8.76,.0584074074074074074074074074074074074074,.6848446417247939124920735573874445149018,0,0
25728,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#1,510,252,31,8.12,.493660130718954248366013071895424836598,.73877929299616046603998411227326889978,.7096774193548387096774193548387096774194,.2588235294117647058823529411764705882354
25729,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#6,510,189,19,9.95,.3706209150326797385620915032679738562078,.6031214178643858566263997883784498721476,.4736842105263157894736842105263157894737,.1058823529411764705882352941176470588236
25730,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#4,510,30,6,4.99,.0587254901960784313725490196078431372549,1.20200333889816360601001669449081803005,1,.0705882352941176470588235294117647058823
25731,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#5,510,207,43,4.82,.4060457516339869281045751633986928104608,1.24587525150905432595573440643863179074,.8837209302325581395348837209302325581395,.4470588235294117647058823529411764705902
25732,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#2,510,160,32,5,.3138562091503267973856209150326797385608,1.19950020824656393169512703040399833403,.71875,.2705882352941176470588235294117647058818
25733,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#7,510,228,27,8.45,.4471241830065359477124183006535947712392,.7104224528577693319690103785996199386093,.5185185185185185185185185185185185185185,.1647058823529411764705882352941176470587
25734,28-JUL-15,4,24-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#3,510,130,31,4.18,.2542483660130718954248366013071895424824,1.43444730077120822622107969151670951157,.8064516129032258064516129032258064516129,.2941176470588235294117647058823529411754
25735,28-JUL-15,4,23-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#1,450,318,42,7.56,.7058518518518518518518518518518518518489,.7933676146500157414209255955504250183684,.8571428571428571428571428571428571428571,.4800000000000000000000000000000000000001
25736,28-JUL-15,4,23-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#4,450,263,57,4.61,.5844444444444444444444444444444444444467,1.30038022813688212927756653992395437262,.8245614035087719298245614035087719298246,.6266666666666666666666666666666666666674
25737,28-JUL-15,4,23-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#5,450,266,41,6.49,.5916296296296296296296296296296296296311,.9240015024414673844998121948165769375213,.6341463414634146341463414634146341463415,.3466666666666666666666666666666666666667
25738,28-JUL-15,4,23-MAY-15,24-MAY-15,Engines,all,Functional test,Functional#3,450,256,49,5.22,.5688148148148148148148148148148148148178,1.14858705560619872379216043755697356426,.7551020408163265306122448979591836734694,.4933333333333333333333333333333333333332
